SENDER,RECP_NAME,AMOUNT,CURRENCY,TYPE,TIME
company D,6655a1edc8edd239e90cd532ac27df2b,163000.0,HUF,salary,2019-02-08 09:59:13.543
company D,a200b7fad50111e79eb8caa6149be0df,350455.0,HUF,salary,2019-02-08 09:59:13.577
company D,9941e0605a2d82325062ebc6d48312f6,129675.0,HUF,salary,2019-02-08 09:59:13.520
company D,066d24be76d30970e27980a75e717668,831250.0,HUF,salary,2019-02-08 09:59:13.593
company D,b5d8ba0928d985e14ccd2168e8b3d164,500001.0,HUF,salary,2019-02-08 09:59:13.587
company D,afca46458a6076342d0b9cbb54106b9a,210007.0,HUF,salary,2019-02-08 09:59:13.553
company D,aa21c4ef38566787a811238ff4b437f8,134675.0,HUF,salary,2019-02-08 09:59:13.567
company D,5228b6e075f86a22b50611743db903d4,129675.0,HUF,salary,2019-02-08 09:59:13.600
company D,5f05ece6eceb9a7060e824722eb10381,100016.0,HUF,salary,2019-02-08 09:59:13.617
company D,d5195d323da76eede3a59fd53bd52ad2,99085.0,HUF,salary,2019-02-08 09:59:13.647
company D,81f7f3312925c378dbddf640c3eb01e3,129675.0,HUF,salary,2019-02-08 09:59:13.633
company D,3b2fefcf70b0c53683e88e2f554ab018,299250.0,HUF,salary,2019-02-08 09:59:13.663
company D,a812933e3ba65d86228b94e4490c6e81,153383.0,HUF,salary,2019-02-08 09:59:13.640
company D,7ec3b8f97aad020aa9c464c61820bf05,20173.0,HUF,other,2019-04-09 09:17:33.960
company D,a2f910334beb97dead353868ca22e413,2386584.0,HUF,other,2019-04-01 13:53:52.700
company D,6a44d87b6eb917de0ebbac6266248070,236500.0,HUF,tax,2019-04-01 13:53:52.717
company C,476b8dfe10a43191ff7ddc62d9cafe27,48636.0,HUF,tax,2019-03-14 13:15:48.683
company C,53cd8e076f87ad244992f190738efb90,329000.0,HUF,tax,2019-03-14 13:15:48.653
company D,71ea155fd26fc9f0421d056c43c6f757,400000.0,HUF,other,2019-03-05 16:34:33.310
company D,43b764dccd7d12bcca2b1f2d3ee2d734,300000.0,HUF,other,2019-03-06 15:13:33.720
company D,88feaf14189e1490100c951f4b88954e,263691.0,HUF,other,2019-03-06 09:16:03.217
company D,583995546c2c2d5d1d4ad32a05b981b8,884526.0,HUF,other,2019-03-06 09:16:03.283
company D,5d796be318d734ef7e04cdc9fd4e4d7e,183145.0,HUF,other,2019-04-02 15:22:28.200
company D,f82f11af85b07a9e894264f751754f48,450000.0,HUF,other,2019-03-08 09:25:46.317
company D,fb069d10f9e841e36b766ad2457adac2,330581.0,HUF,other,2019-04-09 09:17:33.460
company D,f76c077668ebfb91b3e2d69f6ef9aa1a,657850.0,HUF,other,2019-04-26 10:50:35.417
company D,37dee58a72c11fb60a159ca627596c4b,50800.0,HUF,other,2019-04-26 10:50:35.427
company D,37dee58a72c11fb60a159ca627596c4b,50800.0,HUF,other,2019-04-02 12:53:24.663
company B,453d9fd7ef7aa8e6e11b8cc9c623664c,5715.0,HUF,invoice,2018-12-11 15:35:21.257
company D,f76c077668ebfb91b3e2d69f6ef9aa1a,588169.0,HUF,other,2019-04-02 15:22:28.237
company D,f930c36f78132980abb7880fa2634535,200600.0,HUF,other,2019-03-18 09:55:57.073
company D,f930c36f78132980abb7880fa2634535,111490.0,HUF,other,2019-04-02 15:22:28.187
company D,c376417626b83db49d1e0d5c2481a0ba,1800000.0,HUF,other,2019-03-07 13:34:35.273
company D,c376417626b83db49d1e0d5c2481a0ba,3000000.0,HUF,other,2019-03-07 13:34:35.227
company B,9dbf53be16b891d64e6b4155587a605d,43000.0,HUF,tax,2019-01-17 16:13:40.000
company C,9a5551b5b49a4de6f64fbe49ac6362fc,228600.0,HUF,invoice,2019-02-26 08:11:16.613
company D,54eb230d60ade748b43f630cbb57a2c0,120032.0,HUF,salary,2019-01-17 09:58:11.617
company C,44135de6760197666aa0841aa79d9e13,21385.0,HUF,other,2019-01-15 10:13:11.307
company C,d2a6bff0056898bc6c3a197bb5eaedf1,762000.0,HUF,invoice,2019-01-15 08:46:55.340
company D,6739d1144fbe11a768d3adaf79d3cbd7,500000.0,HUF,other,2019-02-01 15:59:37.687
company C,9a5551b5b49a4de6f64fbe49ac6362fc,228600.0,HUF,invoice,2019-04-09 10:26:31.043
company D,9dbf53be16b891d64e6b4155587a605d,9897000.0,HUF,tax,2019-02-18 15:00:01.827
company D,4bd33ae9e360166d4964795d1aa54b36,15131.0,HUF,tax,2019-02-18 15:00:01.837
company D,5d796be318d734ef7e04cdc9fd4e4d7e,286140.0,HUF,other,2019-04-25 13:37:46.030
company D,9dbf53be16b891d64e6b4155587a605d,14071000.0,HUF,tax,2019-04-25 13:46:52.787
company D,5d796be318d734ef7e04cdc9fd4e4d7e,169772.0,HUF,other,2019-04-26 10:50:35.333
company D,5d796be318d734ef7e04cdc9fd4e4d7e,7579.0,HUF,other,2019-03-13 09:02:28.317
company D,5f05ece6eceb9a7060e824722eb10381,100016.0,HUF,salary,2019-03-08 09:25:46.230
company D,d5195d323da76eede3a59fd53bd52ad2,99085.0,HUF,salary,2019-03-08 09:25:46.123
company D,81f7f3312925c378dbddf640c3eb01e3,129675.0,HUF,salary,2019-03-08 09:25:46.327
